id,name,description,theme,resolution,format,provider,reference,reference_detail,latest_year,update_frequency,url
262,SPEED AND DELAY: PEAK PASSENGERS PER HOUR PER DIRECTION (PPHPD) ‚ÄÌ MAJOR CORRIDORS:,"This dataset contains the location of rods, rail network and the journey speed and  PPHPD on Major corridors",Travel Demand,City,Printed map,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"Figure 2.13, Figure 2.14",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
263,"TRAVEL CHARACTERISTICS : DAILY TRIPS,HOURLY DISTRIBUTION,MODE SHARE, AVERAGE TRIP LENGTH, AND TRIP LENGTH DISTRIBUTION","This dataset contains Daily trips,Hourly Distribution,Mode Share, Average Trip Length, and Trip length distribution graphs and tables ",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"Table 2.11,Table 2.12, Figure 2.15, Figure 2.16 ",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
264,PEAK HOUR TRAFFIC COMPOSITION AT SCREEN LINE LOCATIONS,"Contains location, passenger,goods and slow moving vehicles traffic composition with further classification like standard bus,mofussil bus, other bus, cars, two wheeler etc.",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 116",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
265,PEAK HOUR TRAFFIC COMPOSITION AT MIDBLOCK LOCATIONS,"Contains location, passenger,goods and slow moving vehicles traffic composition with further classification like standard bus,mofussil bus, other bus, cars, two wheeler etc.",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 120",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
266,PEAK HOUR TRAFFIC COMPOSITION AT CORDON LOCATIONS,"Contains location, passenger,goods and slow moving vehicles traffic composition with further classification like standard bus,mofussil bus, other bus, cars, two wheeler etc.",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 122",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
267,JOURNEY PURPOSE AT OUTER CORDON (%),"contains purpose in % in mode(2 wheeler,car,auto,taxi) for work, business, education, social & recreation, tourism, others",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 124",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
268,PEAK HOUR PASSENGER COUNT DATA,"contains location, direction, no. of alighting passengers, no. of boarding passengers and total passenger",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 124",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
269,AVERAGE OCCUPANCY,"contains location, direction and average occupancy data",Travel Demand,City,Printed table,Wilbur smith associates,Traffic Study by Wilbur Smith Associates-2010,"ANNEXURE - 2, pg. 125",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
270,SPEED AND DELAY,"contains corridor name, direction(towards), distance(km), average total time(sec), average delay(sec), average journey speed(kmph), running speed(kmph) data",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 126",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
271,MODE DISTRIBUTION IN JAIPUR (INCLUDING WALK),contains mode distribution with mode and total trips in %,Travel Demand,City,Printed table,"egis rail,egis india, feedback infra","JMRCL(2018) Comprehensive Mobility Plan - Urban Transport Sector Assessment Report for Jaipur City",Table 0-1 (Egis survey),2017,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/DPR%20Phase%20II/CMP%20Executive%20Summary%20Final.pdf
272,TOTAL MECHANIZED TRIPS BASE YEAR 2017,"contains mode of transport, trips in lakhs and share in %",Travel Demand,City,Printed table,"egis rail,egis india, feedback infra","JMRCL(2018) Comprehensive Mobility Plan - Urban Transport Sector Assessment Report for Jaipur City",Table 0-2 (Estimate by Egis survey),2017,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/DPR%20Phase%20II/CMP%20Executive%20Summary%20Final.pdf
273,AVERAGE TRIP LENGTH BY VARIOUS MODES,"contains mode, homebased,non-home based trips, avg. trip length(km)",Travel Demand,City,Printed table,"egis rail,egis india, feedback infra","JMRCL(2018) Comprehensive Mobility Plan - Urban Transport Sector Assessment Report for Jaipur City",Table 0-3 ( Egis survey),2017,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/DPR%20Phase%20II/CMP%20Executive%20Summary%20Final.pdf
274,MODAL SHARE OF TRANSPORT,This dataset provides the percentage of people who used different modes of transportation in 2009 and 2018.,Travel Demand,City,Printed table,JDA,CMP ppt (n.d),pg. 29,2018,N/A,https://cdn.cseindia.org/userfiles/comprehensive_mobility.pdf
275,PUBLIC TRANSPORT MODE JAIPUR,This catalog contains the public mode share data ,Travel Demand,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/publictransportmodejaipur
276,DMIC CORRIDOR ALONG WITH ITS INFLUENCE ZONE,"The DMIC corridor is expected to have an influence zone of 150 Kms on either side, resulting in more than 70% of Jaipur district getting covered by the same. The map shows the DMIC corridor along with its influence zone.",Urban Development,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-12, pg.63",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
277,GROWTH NODES BY 2025 JAIPUR DISTRICT,Map projecting key growth areas in Jaipur District by 2025.,Urban Development,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-47, pg. 124",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
278,MAP SHOWING JAIPUR REGION-2025,Map depicting the Jaipur Region by 2025.,Urban Development,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-1, pg. 128",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
279,SATELLITE TOWNS AND GROWTH CENTERS IN JAIPUR REGION,"This data shows information as per the master plan, 11 satellite towns and 4 growth centers are proposed in the Jaipur
Region",Urban Development,Region,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Table 6-2 Pg 6-5,2018,N/A,Document not yet published
280,GROWTH DIRECTION OF JAIPUR REGION,This dataset shows the availability of The expansion trajectory of Jaipur region,Urban Development,District,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-2 pg 6-4,2018,N/A,Document not yet published
281,EXISTING DEVELOPMENT AREA BOUNDARY OF JAIPUR REGION,Map outlining the boundaries of existing development areas in Jaipur Region.,Urban Development,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 4-1, pg. 216",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
282,SOLID WASTE DISPOSAL DATA JAIPUR,"This catalog contains data regarding the disposal/SLF sites, type of waste,distance from city centre,operation since and quantity(TPD) in Jaipur City.",Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/solidwastedisposaldatajaipur
283,PUBLIC TOILETS JAIPUR,This catalog describes the sewerage network and details the spread of public toilets available within an area based on ward in the city,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/public-toilets-jaipur
284,SOLID WASTE D2D COLLECTION JAIPUR,This catalog contains ward wise total door to door solid waste collection,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/solidwasted2dcollectionjaipur
285,SOLID WASTE PROCESSING JAIPUR," catalog contains jaipur city Type of Waste, Quantity, Process technology, Plant location (address), Plant capacity (TPD), Waste to Energy initiative (Y/N), Power generated by Waste-to-Energy initiative (in MW)",Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/solid-waste-processing-jaipur
286,SOLID WASTE COLLECTION VEHICLE JAIPUR,This catalog contains the types of waste collection vehicle used in different wards of jaipur city,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/solidwastecollectionvehiclejaipur
287,DOOR TO DOOR COLLECTION OF SOLID WASTE IN JAIPUR,This catalougue contains total no. of households and establishments covered through doorstep collection ward wise,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/door-door-collection-solid-waste-jaipur
288,SOLID WASTE SEGREGATION JAIPUR,This catalog contains the total no. of ward wise No. of Households with waste segregation,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/solidwastesegregationjaipur
289,WASTE MANAGEMENT REVENUE EXPENDITURE DATA JAIPUR,This catalog contains the annual expenditure and revenue generated( in lakhs) ,Waste Management,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/waste-management-revenue-expenditure-data-jaipur
